properties,tensile strength,fracture growth rate,impact strength(room tem),impact strength(low tem),bending strength,flexural module,heat distortion temperature,30deg breakdown,50deg breakdown,70deg breakdown,90deg breakdown,110deg breakdown,5_20,10_20,15_20,20_20,25_20,30_20,35_20,40_20,45_20,50_20,55_20,60_20,65_20,70_20,75_20,80_20,5_50,10_50,15_50,20_50,25_50,30_50,35_50,40_50,45_50,50_50,55_50,60_50,65_50,70_50,75_50,80_50,5_70,10_70,15_70,20_70,25_70,30_70,35_70,40_70,45_70,50_70,55_70,60_70,65_70,70_70,75_70,80_70,5_90,10_90,15_90,20_90,25_90,30_90,35_90,40_90,45_90,50_90,55_90,60_90,65_90,70_90,75_90,80_90,5_110,10_110,15_110,20_110,25_110,30_110,35_110,40_110,45_110,50_110,55_110,60_110,65_110,70_110,75_110,80_110
unit,MPa,%,KJ/M2,KJ/M2,MPa,GPa,¡C,kV/mm,kV/mm,kV/mm,kV/mm,kV/mm,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,,,,,,,,,,,,,,,,
ipp,36,57.4,4.4,1.4,33.73,1.51,85.4,377,366,352,333,,0.28,0.57,0.85,1.24,2.48,4.35,8.94,17.92,30.22,46.8,70.01,103.94,152.01,226.88,336.27,485.84,0.79,1.69,2.98,4.88,7.87,16.78,26.64,39.13,60.32,102.34,144.46,246.39,387.95,638.42,914.8,1216.2,33.36,86.1,160.29,239.33,288.05,354.74,419.05,477.61,583.56,738.54,941.46,1317.8,1881.4,2556.7,3440.6,4284.1,1019.8,1793.2,2162.9,2291.9,2471.2,2539.7,2609.9,2846.8,3114.4,3654.4,4677.3,6239.3,8023.9,12862,18000,25077,,,,,,,,,,,,,,,,
st-1,35.9,79.7,3.6,1.1,36.8,1.62,82,460,406,391,375,,0.09,0.13,0.28,0.71,1.07,2.85,5.24,8.84,13.88,19.52,26.12,34.44,46.72,62.36,79.56,104.48,0.63,1.16,2.56,4.98,8.45,13.88,18.72,23.69,32.96,45.68,59.13,81.13,126.84,173.9,236.67,325.73,9.95,21.92,48.88,87.64,137.93,197.75,253.17,320.98,378.06,472.93,606.78,772.38,1008,1315.3,1613.4,2020.6,103.21,244.68,380.2,575.3,764.94,964.75,1178.5,1402.1,1854.5,2162.3,2950.5,3765.6,5065.9,6461.7,8097.1,10806,,,,,,,,,,,,,,,,
st-2.5,36.5,75.3,3.5,1.1,36,1.56,89.7,502,463,439,401,,0.03,0.06,0.11,0.22,0.34,0.58,1.18,2.02,3.17,5.03,7.46,11.07,15.95,22.42,30.55,41.23,0.11,0.2,0.31,0.46,0.62,0.95,1.52,2.23,3.03,4.38,6.61,9.8,13.48,19.52,27.6,34.78,1.17,2.18,5.25,8.32,12.6,22.92,30.41,41.2,57.13,73.43,96.42,122.84,165.24,208.25,299.94,383.23,20.06,64.65,124.7,191.08,256,324.61,377.97,435.68,494.34,572.12,662.48,794.46,1041.3,1199.3,1594.5,1775.9,,,,,,,,,,,,,,,,
st-5,36.8,71.4,3.2,1.1,40.5,1.77,92.4,506,490,477,459,,0.01,0.01,0.02,0.06,0.08,0.13,0.23,0.36,0.57,0.71,1.07,1.15,1.4,1.65,2.95,4.2,0.04,0.07,0.13,0.17,0.21,0.28,0.35,0.48,0.65,0.86,1.11,1.46,1.93,2.68,3.9,5.38,0.55,0.95,1.62,2.2,3.05,4.43,6.38,8.05,10.12,13.43,16.04,21.62,26.94,32.66,40.88,49.43,72.05,163.5,258.75,276.26,317.31,352.85,392.28,467.23,527.26,578.52,637.15,709.14,750.65,904.19,1084,1254.9,,,,,,,,,,,,,,,,
st-10,37.1,82.4,2.2,1,42.9,1.86,89.1,494,477,465,443,,0.02,0.02,0.04,0.07,0.1,0.18,0.3,0.48,0.67,0.93,1.19,1.53,2.05,2.7,3.16,4.3,0.07,0.14,0.21,0.27,0.36,0.48,0.63,0.81,1.03,1.37,1.81,2.36,3.04,3.87,5.15,7.43,0.59,1.25,1.76,2.81,3.84,5.36,6.96,8.8,11.7,15.11,18.44,24.73,31.86,40.47,51.02,64.64,51.72,72.34,120.05,168.77,201.12,241.19,284.35,321.24,382.09,463.02,560.83,651.35,823.68,1049.7,1307.1,1625.8,,,,,,,,,,,,,,,,
st-20,38.8,8.9,2,1.1,45.8,1.94,89.9,485,469,456,431,,0.02,0.03,0.05,0.09,0.16,0.23,0.44,0.56,0.73,1.03,1.27,1.68,2.26,2.83,3.23,4.4,0.11,0.19,0.3,0.4,0.51,0.67,0.92,1.24,1.45,1.78,2.24,2.9,3.64,4.27,6.18,9.29,0.46,0.93,1.34,2.05,2.76,3.73,5.12,7.57,9.83,13.66,19.72,27.76,37.05,51.28,69.2,92.28,3.99,13.74,31.5,42.52,51.56,73.58,86.75,104.72,159.32,190.21,252.15,357.92,427.83,580.79,782.57,890.8,,,,,,,,,,,,,,,,
t30s,,,,,,,,,,,,,0.1475,0.0064,0.314,0.4292,0.928,2.6362,5.6801,11.048,18.965,30.246,48.006,72.38,120.75,135.28,176.04,237.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01821,16.7995,72.5009,311.97,653.41,1354.38,2429.29,3107.24,3889.04,5651.21,5263.05,6312.96,7694.01,8017.29,9050.68,14412.2,,,,,,,,,,,,,,,,
vtes-1,34.17,>300,4.3,1.1,31.56,1.36,82.6,569,,,,,-0.03,0.3,0.39,1.29,3.25,7.12,13.65,23.65,37.28,57.69,85,119.51,153.72,198.17,263.34,315.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43,95.93,476.26,1280.31,2430.82,4672.54,6206.29,6927.88,9344.94,11293.24,12119.11,14634.14,15516.28,15654.12,18996.8,18952.31,,,,,,,,,,,,,,,,
vtes-2.5,33.51,/,4.5,1.2,30.43,1.32,86.1,582,,,,,-0.2,0.47,1.97,5.2,11.63,18.27,27.08,40.86,59.36,85.89,118.35,150.59,191.45,228.96,297.21,361.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13,119.53,328.74,850.45,1774.86,2235.16,3055.25,4258.88,4663.94,4901.92,6308.86,6596.76,6417.01,7843.42,8575.01,8086.69,,,,,,,,,,,,,,,,
